Unit,id,civic_number,street_name,name,category,latitude,longitude,junction_id,junction_dst
N/A,666,843,W BROADWAY,On Time Optical,Comparison Goods,49.26364084635163,-123.12289089129864,2422,86.14613449640512
N/A,670,855,W BROADWAY,Uniform Central,Comparison Goods,49.2636467080179,-123.12310008544014,2331,84.16089570372876
N/A,671,865,W BROADWAY,Tim Hortons / Moderne Burger,Food & Beverage,49.26365074981995,-123.12351874196249,2331,57.405617123933354
N/A,674,887,W BROADWAY,Legendary Noodle,Food & Beverage,49.263660062505814,-123.12393710937278,2331,37.32472343924115
N/A,677,895,W BROADWAY,Half Day Tea + Flower,Food & Beverage,49.263660062505814,-123.12393710937278,2331,37.32472343924115
108,696,950,W BROADWAY,Johnson Meier Insurance,Service Commercial,49.263084643104484,-123.1257002998391,2238,72.4807483778851
104a,697,950,W BROADWAY,Mainland Sleep Diagnostics,Service Commercial,49.263084643104484,-123.1257002998391,2238,72.4807483778851
N/A,705,2110,BURRARD ST,Fifth Avenue Cinemas,Entertainment and Leisure,49.266792294013506,-123.145176289268,1457,51.15304287751569
N/A,712,2277,BURRARD ST,B Fierce Studio,Service Commercial,49.26589081695054,-123.1462065896763,1455,60.653014780247794
N/A,713,2281,BURRARD ST,Northam Law Corporation,Service Commercial,49.26589081695054,-123.1462065896763,1455,60.653014780247794
N/A,718,2325,BURRARD ST,St. John's Vancouver,Service Commercial,49.26521266583803,-123.14595964333158,1453,34.08006852426613
N/A,720,2355,BURRARD ST,Mazuya Japanese Restaurant,Food & Beverage,49.26488389718756,-123.14597188802087,1451,35.03454008211426
N/A,723,2385,BURRARD ST,Kfm Foods,Service Commercial,49.26488389718756,-123.14597188802087,1451,35.03454008211426
N/A,726,2391,BURRARD ST,The Valetor Cleaners,Service Commercial,49.26488389718756,-123.14597188802087,1451,35.03454008211426
N/A,729,2415,BURRARD ST,The Balloon Shop,Comparison Goods,49.26419801026311,-123.14610190962078,1451,54.89323578732089
